板塊,公司,代碼,財報日期,資料頻率,存貨（億元）,營收（億元）,存貨天數,存貨天數季變,存貨年增%,營收年增%,毛利率%,3個月股價%,循環階段,判讀
800V HVDC 電源,台達電,2308,2026-03-31,季報,1191.07625,1593.52652,106.77852452881577,20.381248012537057,42.03770827539446,39.53519031630863,37.00024458959114,-23.635350159926073,擴張備貨,營收成長且存貨天數增加，可能因擴產或旺季備貨，需觀察後續營收能否消化。
800V HVDC 電源,光寶科,2301,2026-03-31,季報,439.45503,434.07292,116.3114196624027,27.507013193047086,63.87124062999669,13.336694220089406,21.662104606755932,21.308861020077497,擴張備貨,營收成長且存貨天數增加，可能因擴產或旺季備貨，需觀察後續營收能否消化。
800V HVDC 電源,群電,6412,2026-03-31,季報,60.92293,77.83863,83.79681670549529,5.632158218161322,0.5145762224175732,-7.795689467379252,15.937831896578858,-21.204705679924572,庫存壓力,營收衰退但存貨天數上升，屬較弱的被動累庫訊號。
800V HVDC 電源,康舒,6282,2026-03-31,季報,90.73634,85.80758,125.87027098512034,16.816133662415083,33.37197170648045,20.542929088948746,24.390747297616365,-29.092869494309248,擴張備貨,營收成長且存貨天數增加，可能因擴產或旺季備貨，需觀察後續營收能否消化。
BBU／備援電池,AES-KY,6781,2026-03-31,季報,88.52314,45.29845,275.26023171785897,0.9929981099169822,11.630144568015366,31.74496210966675,36.10417133478077,-2.9544065940163566,擴張備貨,營收成長且存貨天數增加，可能因擴產或旺季備貨，需觀察後續營收能否消化。
BBU／備援電池,新盛力,4931,2026-03-31,季報,6.50691,7.91378,94.9736707670102,7.284464977801136,58.94897293652945,20.542991663506015,22.083378613001624,3.6571223937232444,擴張備貨,營收成長且存貨天數增加，可能因擴產或旺季備貨，需觀察後續營收能否消化。
BBU／備援電池,順達,3211,2026-03-31,季報,27.8267,33.44523,93.6372089684328,41.54438913079413,166.13217138151697,13.513455723608093,20.03101787609175,-9.969992722514498,擴張備貨,營收成長且存貨天數增加，可能因擴產或旺季備貨，需觀察後續營收能否消化。
電源測試／基礎設施,致茂,2360,2026-03-31,季報,90.39861,118.59669,183.42178189696568,-28.481883442935384,58.537257354470555,72.75427378471042,62.59920913475747,-19.561105903226217,健康去化,營收成長且存貨天數下降，需求吸收庫存的品質較佳。
電源測試／基礎設施,華城,1519,2026-03-31,季報,93.64571,47.56515,314.2003712345768,153.92692449399345,10.235178369042618,7.582768807360618,43.605749167194894,-8.924993102660395,擴張備貨,營收成長且存貨天數增加，可能因擴產或旺季備貨，需觀察後續營收能否消化。
電源測試／基礎設施,中興電,1513,2026-03-31,季報,104.35704,64.90639,195.4795904477776,13.468356688903839,-0.7542170668406456,0.6666141411346471,25.97551643220336,-6.765246559716564,擴張備貨,營收成長且存貨天數增加，可能因擴產或旺季備貨，需觀察後續營收能否消化。
