Date,Inventory,Revenue,Cost,GrossProfit,InventoryDays,InventoryYoY,RevenueYoY,GrossMargin,板塊,公司
2025-03-31,381371000.0,411403000.0,340859000.0,70544000.0,100.69673970762105,,,17.147176855783744,光纖元件／FAU,上詮
2025-06-30,420524000.0,582076000.0,467157000.0,114919000.0,81.01593254516148,,,19.74295452827466,光纖元件／FAU,上詮
2025-09-30,487756000.0,507741000.0,386848000.0,120893000.0,113.47619736950948,,,23.809973982798315,光纖元件／FAU,上詮
2025-12-31,408706000.0,390774000.0,342215000.0,48559000.0,107.48663851672194,,,12.426364087682394,光纖元件／FAU,上詮
2026-03-31,409841000.0,381969000.0,374772000.0,7197000.0,98.42168038167205,7.46517170943779,-7.154541896874845,1.8841843186227156,光纖元件／FAU,上詮
2024-12-31,304939000.0,476600000.0,409606000.0,66994000.0,67.00221676440286,,,14.056651279899288,光纖元件／FAU,波若威
2025-03-31,338982000.0,523911000.0,430668000.0,93243000.0,70.83967232299591,,,17.797488504726946,光纖元件／FAU,波若威
2025-06-30,321888000.0,538484000.0,445905000.0,92579000.0,64.96881622767181,,,17.192525683214356,光纖元件／FAU,波若威
2025-12-31,400554000.0,622905000.0,509138000.0,113767000.0,70.80567547501856,,,18.263940729324695,光纖元件／FAU,波若威
2026-03-31,458205000.0,656095000.0,532385000.0,123710000.0,77.45982700489307,50.26119978093979,37.661561057490566,18.855501108833327,光纖元件／FAU,波若威
2025-03-31,1016942000.0,2104723000.0,1064523000.0,1040200000.0,85.9772686921748,,,49.42218049596075,光纖元件／FAU,光聖
2025-06-30,989534000.0,2908774000.0,1114900000.0,1793874000.0,79.87986366490267,,,61.67113704949233,光纖元件／FAU,光聖
2025-09-30,1031993000.0,2514032000.0,996274000.0,1517758000.0,93.22673280643679,,,60.37146702985483,光纖元件／FAU,光聖
2025-12-31,1209369000.0,2999698000.0,1272667000.0,1727031000.0,85.52371515879645,,,57.57349573190368,光纖元件／FAU,光聖
2026-03-31,1703720000.0,2705681000.0,1206501000.0,1499180000.0,127.09048728513281,67.5336449866364,28.552830942599105,55.40860138353339,光纖元件／FAU,光聖
2024-12-31,346327000.0,288811000.0,198713000.0,90098000.0,156.8565217172505,,,31.196180200892627,雷射／光收發模組,聯亞
2025-03-31,366441000.0,454502000.0,307489000.0,147013000.0,107.25486114950453,,,32.345952273037305,雷射／光收發模組,聯亞
2025-06-30,359802000.0,553094000.0,313435000.0,239659000.0,103.31386092810311,,,43.33060926352483,雷射／光收發模組,聯亞
2025-12-31,571168000.0,642422000.0,329763000.0,312659000.0,155.8850447139309,,,48.66878780614611,雷射／光收發模組,聯亞
2026-03-31,595471000.0,904389000.0,409156000.0,495233000.0,130.98277918446755,71.938947872964,213.14215871279143,54.75884823897681,雷射／光收發模組,聯亞
2025-03-31,543547000.0,1066906000.0,827301000.0,239605000.0,59.13111431026918,,,22.457929752011893,雷射／光收發模組,華星光
2025-06-30,414945000.0,1087486000.0,899095000.0,188391000.0,41.536267024063086,,,17.32353336042947,雷射／光收發模組,華星光
2025-09-30,564714000.0,1076094000.0,849225000.0,226869000.0,59.84781418352027,,,21.082637762128588,雷射／光收發模組,華星光
2025-12-31,419141000.0,1154360000.0,888586000.0,265774000.0,42.45249193662741,,,23.023493537544613,雷射／光收發模組,華星光
2026-03-31,576944000.0,1193478000.0,890125000.0,303353000.0,58.334458643448954,6.144270872620039,11.863463135458986,25.417561111306618,雷射／光收發模組,華星光
2025-03-31,743246000.0,2758002000.0,1760721000.0,997281000.0,37.991334231828894,,,36.15954593216394,雷射／光收發模組,聯鈞
2025-06-30,956106000.0,1848901000.0,1279330000.0,569571000.0,67.2614102694379,,,30.805922004477253,雷射／光收發模組,聯鈞
2025-09-30,1101798000.0,1855743000.0,1433019000.0,422724000.0,69.19784036359601,,,22.779231822509903,雷射／光收發模組,聯鈞
2025-12-31,1007880000.0,2121948000.0,1555943000.0,566005000.0,58.29853664305183,,,26.673839321227476,雷射／光收發模組,聯鈞
2026-03-31,1066859000.0,2086881000.0,1569244000.0,517637000.0,61.18698558031766,43.54049668615774,-24.3335936667196,24.804337190285406,雷射／光收發模組,聯鈞
2024-12-31,19370957000.0,38971903000.0,30907214000.0,8064689000.0,56.40709414960533,,,20.693598154547395,高速網通系統,智邦
2025-03-31,23945208000.0,42750561000.0,34103112000.0,8647449000.0,63.192729156213076,,,20.227685433180632,高速網通系統,智邦
2025-06-30,26197713000.0,60604798000.0,49740856000.0,10863942000.0,47.4015599972787,,,17.92587774981116,高速網通系統,智邦
