產品,均價,變動
DDR5 16Gb (2Gx8) 4800/5600,54.25,▲ 0.31 %
DDR5 16Gb (2Gx8) eTT,24.0,▲ 0.42 %
DDR4 16Gb (2Gx8) 3200,92.649,▲ 0.68 %
DDR4 16Gb (2Gx8) eTT,11.675,▲ 0.86 %
DDR4 8Gb (1Gx8) 3200,44.571,▲ 0.06 %
DDR4 8Gb (1Gx8) eTT,4.69,▲ 2.69 %
DDR3 4Gb 512Mx8 1600/1866,13.83,▼ -0.17 %
DDR5 8GB SO-DIMM,130.0,▲ 13.04 %
DDR4 16GB SO-DIMM,265.0,▲ 16.74 %
DDR4 8GB SO-DIMM,139.0,▲ 16.81 %
DDR4 16Gb 2Gx8,48.0,▲ 14.29 %
DDR4 8Gb 1Gx8,24.0,▲ 14.29 %
DDR4 4Gb 256Mx16,14.5,▲ 11.54 %
DDR3 4Gb 256Mx16,14.5,▲ 16.00 %
DDR5 UDIMM 16GB 4800/5600,230.0,▲ 1.10 %
DDR5 RDIMM 32GB 4800/5600,1665.0,▲ 4.06 %
DDR4 UDIMM 16GB 3200,162.2,— 0.00 %
GDDR5 8Gb,11.773,— 0.00 %
GDDR6 8Gb,11.729,▲ 0.20 %
